movie_title,domestic_distributor,budget,domestic_opening_sales,earliest_release,rating,runtime_minutes,genres,summary_sales,crew_list,cast_list
The Fast and the Furious,Universal Pictures,38000000.0,40089015.0,"June 22, 2001",PG-13,106.0,"['Action', 'Crime', 'Thriller']","[('Domestic', 144533925), ('International', 62767742), ('Worldwide', 207301667)]","['Rob Cohen', 'Ken Li', 'Gary Scott Thompson', 'Gary Scott Thompson', 'Erik Bergquist', 'David Ayer', 'Neal H. Moritz', 'BT', 'Ericson Core', 'Peter Honess', 'Waldemar Kalinowski']","['Vin Diesel', 'Paul Walker', 'Michelle Rodriguez', 'Jordana Brewster']"
Mamma Mia!,Universal Pictures,52000000.0,27751240.0,"June 27, 2008",PG-13,108.0,"['Comedy', 'Musical', 'Romance']","[('Domestic', 144169664), ('International', 465745071), ('Worldwide', 609914735)]","['Phyllida Lloyd', 'Catherine Johnson', 'Catherine Johnson', 'Judy Craymer', 'Gary Goetzman', 'Benny Andersson', 'Björn Ulvaeus', 'Haris Zambarloukos', 'Lesley Walker', 'Maria Djurkovic']","['Meryl Streep', 'Pierce Brosnan', 'Amanda Seyfried', 'Stellan Skarsgård']"
Doctor Dolittle,Twentieth Century Fox,,29014324.0,"June 26, 1998",PG-13,85.0,"['Comedy', 'Family', 'Fantasy']","[('Domestic', 144156605), ('International', 150300000), ('Worldwide', 294456605)]","['Betty Thomas', 'Hugh Lofting', 'Nat Mauldin', 'Larry Levin', 'John Davis', 'David T. Friendly', 'Joseph Singer', 'Richard Gibbs', 'Russell Boyd', 'Peter Teschner', 'William A. Elliott']","['Eddie Murphy', 'Peter Boyle', 'Ossie Davis', 'Oliver Platt']"
Pokémon Detective Pikachu,Warner Bros.,150000000.0,54365242.0,"May 3, 2019",PG,104.0,"['Action', 'Adventure', 'Comedy', 'Family', 'Mystery', 'Sci-Fi']","[('Domestic', 144105346), ('International', 288900000), ('Worldwide', 433005346)]","['Rob Letterman', 'Dan Hernandez', 'Benji Samit', 'Rob Letterman', 'Derek Connolly', 'Dan Hernandez', 'Benji Samit', 'Nicole Perlman', 'Satoshi Tajiri', 'Ken Sugimori', 'Junichi Masuda', 'Hiroyuki Jinnai', 'Cale Boyter', 'Hidenaga Katakami', 'Don McGowan', 'Mary Parent', 'Henry Jackman', 'John Mathieson', 'Mark Sanger', 'James Thomas', 'Nigel Phelps']","['Ryan Reynolds', 'Justice Smith', 'Kathryn Newton', 'Bill Nighy']"
Rio,Twentieth Century Fox,90000000.0,39225962.0,"April 4, 2011",PG,96.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Musical']","[('Domestic', 143619809), ('International', 340246709), ('Worldwide', 483866518)]","['Carlos Saldanha', 'Carlos Saldanha', 'Earl Richey Jones', 'Todd R. Jones', 'Don Rhymer', 'Joshua Sternin', 'Jennifer Ventimilia', 'Sam Harper', 'Bruce Anderson', 'John C. Donkin', 'John Powell', 'Renato Falcão', 'Harry Hitner']","['Jesse Eisenberg', 'Anne Hathaway', 'George Lopez', 'Karen Disher']"
Kung Fu Panda 3,Twentieth Century Fox,145000000.0,41282042.0,"January 28, 2016",PG,95.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","[('Domestic', 143528619), ('International', 377642206), ('Worldwide', 521170825)]","['Alessandro Carloni', 'Jennifer Yuh Nelson', 'Jonathan Aibel', 'Glenn Berger', 'Ethan Reiff', 'Cyrus Voris', 'Melissa Cobb', 'Hans Zimmer', 'Clare Knight', 'Raymond Zibach']","['Jack Black', 'Bryan Cranston', 'Dustin Hoffman', 'Angelina Jolie']"
Juno,Fox Searchlight Pictures,7500000.0,413869.0,"December 5, 2007",PG-13,96.0,"['Comedy', 'Drama']","[('Domestic', 143495265), ('International', 88877416), ('Worldwide', 232372681)]","['Jason Reitman', 'Diablo Cody', 'Lianne Halfon', 'John Malkovich', 'Mason Novick', 'Russell Smith', 'Mateo Messina', 'Eric Steelberg', 'Dana E. Glauberman', 'Steve Saklad']","['Elliot Page', 'Michael Cera', 'Jennifer Garner', 'Jason Bateman']"
Marley & Me,Twentieth Century Fox,,36357586.0,"December 24, 2008",PG,111.0,"['Comedy', 'Drama', 'Family']","[('Domestic', 143153751), ('International', 112589342), ('Worldwide', 255743093)]","['David Frankel', 'Scott Frank', 'Don Roos', 'John Grogan', 'Gil Netter', 'Karen Rosenfelt', 'Theodore Shapiro', 'Florian Ballhaus', 'Mark Livolsi', 'Stuart Wurtzel']","['Owen Wilson', 'Jennifer Aniston', 'Eric Dane', 'Kathleen Turner']"
The Smurfs,Sony Pictures Entertainment (SPE),110000000.0,35611637.0,"July 27, 2011",PG,103.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","[('Domestic', 142614158), ('International', 421135165), ('Worldwide', 563749323)]","['Raja Gosnell', 'J. David Stem', 'David N. Weiss', 'Jay Scherick', 'David Ronn', 'J. David Stem', 'David N. Weiss', 'Peyo', 'Jordan Kerner', 'Heitor Pereira', 'Phil Meheux', 'Sabrina Plisco', 'Bill Boes']","['Hank Azaria', 'Katy Perry', 'Jonathan Winters', 'Neil Patrick Harris']"
Once Upon a Time... In Hollywood,Sony Pictures Entertainment (SPE),90000000.0,41082018.0,"July 25, 2019",R,161.0,"['Comedy', 'Drama']","[('Domestic', 142502728), ('International', 231840898), ('Worldwide', 374343626)]","['Quentin Tarantino', 'Quentin Tarantino', 'David Heyman', 'Shannon McIntosh', 'Quentin Tarantino', 'Robert Richardson', 'Fred Raskin', 'Barbara Ling']","['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie', 'Emile Hirsch']"
