movie_title,domestic_distributor,budget,domestic_opening_sales,earliest_release,rating,runtime_minutes,genres,summary_sales,crew_list,cast_list
Batman Begins,Warner Bros.,150000000.0,48745440.0,"June 15, 2005",PG-13,140.0,"['Action', 'Adventure']","[('Domestic', 206852432), ('International', 166809514), ('Worldwide', 373661946)]","['Christopher Nolan', 'Bob Kane', 'David S. Goyer', 'Christopher Nolan', 'David S. Goyer', 'Larry Franco', 'Lorne Orleans', 'Charles Roven', 'Emma Thomas', 'James Newton Howard', 'Hans Zimmer', 'Wally Pfister', 'Lee Smith', 'Nathan Crowley']","['Christian Bale', 'Michael Caine', 'Ken Watanabe', 'Liam Neeson']"
Charlie and the Chocolate Factory,Warner Bros.,150000000.0,56178450.0,"July 14, 2005",PG,115.0,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']","[('Domestic', 206459076), ('International', 268509687), ('Worldwide', 474968763)]","['Tim Burton', 'Roald Dahl', 'John August', 'Brad Grey', 'Lorne Orleans', 'Richard D. Zanuck', 'Danny Elfman', 'Philippe Rousselot', 'Chris Lebenzon', 'Alex McDowell']","['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'Helena Bonham Carter']"
Ratatouille,Walt Disney Studios Motion Pictures,150000000.0,47027395.0,"June 28, 2007",G,111.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","[('Domestic', 206445654), ('International', 417280431), ('Worldwide', 623726085)]","['Brad Bird', 'Jan Pinkava', 'Brad Bird', 'Jan Pinkava', 'Jim Capobianco', 'Brad Bird', 'Emily Cook', 'Bradford Lewis', 'Michael Giacchino', 'Robert Anderson', 'Sharon Calahan', 'Darren T. Holmes', 'Harley Jessup']","['Brad Garrett', 'Lou Romano', 'Patton Oswalt', 'Ian Holm']"
Thor: The Dark World,Walt Disney Studios Motion Pictures,170000000.0,85737841.0,"October 30, 2013",PG-13,112.0,"['Action', 'Adventure', 'Fantasy']","[('Domestic', 206362140), ('International', 438421000), ('Worldwide', 644783140)]","['Alan Taylor', 'Christopher L. Yost', 'Christopher Markus', 'Stephen McFeely', 'Don Payne', 'Robert Rodat', 'Stan Lee', 'Larry Lieber', 'Jack Kirby', 'Walter Simonson', 'Kenneth Branagh', 'Kevin Feige', 'Brian Tyler', 'Kramer Morgenthau', 'Dan Lebental', 'Wyatt Smith', 'Charles Wood']","['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Stellan Skarsgård']"
Bad Boys for Life,Sony Pictures Entertainment (SPE),90000000.0,62504105.0,"January 15, 2020",R,124.0,"['Action', 'Comedy', 'Crime', 'Thriller']","[('Domestic', 206305244), ('International', 220200000), ('Worldwide', 426505244)]","['Adil El Arbi', 'Bilall Fallah', 'Peter Craig', 'Joe Carnahan', 'Chris Bremner', 'Peter Craig', 'Joe Carnahan', 'George Gallo', 'Doug Belgrad', 'Jerry Bruckheimer', 'Will Smith', 'Lorne Balfe', 'Robrecht Heyvaert', 'Dan Lebental', 'Peter McNulty', 'Jon Billington']","['Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Alexander Ludwig']"
Austin Powers: The Spy Who Shagged Me,New Line Cinema,33000000.0,17981900.0,"June 11, 1999",PG-13,95.0,"['Action', 'Adventure', 'Comedy', 'Crime']","[('Domestic', 206040086), ('International', 105976842), ('Worldwide', 312016928)]","['Jay Roach', 'Mike Myers', 'Michael McCullers', 'Mike Myers', 'John S. Lyons', 'Eric McLeod', 'Demi Moore', 'Mike Myers', 'Jennifer Todd', 'Suzanne Todd', 'George S. Clinton', 'Ueli Steiger', 'Debra Neil-Fisher', 'Jon Poll', 'Rusty Smith']","['Mike Myers', 'Heather Graham', 'Michael York', 'Robert Wagner']"
Terminator 2: Judgment Day,TriStar Pictures,102000000.0,31765506.0,"July 3, 1991",R,137.0,"['Action', 'Sci-Fi']","[('Domestic', 205881154), ('International', 312106698), ('Worldwide', 520881154)]","['James Cameron', 'James Cameron', 'William Wisher', 'James Cameron', 'Brad Fiedel', 'Adam Greenberg', 'Conrad Buff IV', 'Dody Dorn', 'Mark Goldblatt', 'Richard A. Harris', 'Joseph C. Nemec III']","['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']"
The Amazing Spider,Sony Pictures Entertainment (SPE),,91608337.0,"April 16, 2014",PG-13,142.0,"['Action', 'Adventure', 'Sci-Fi']","[('Domestic', 202853933), ('International', 506128390), ('Worldwide', 708982323)]","['Marc Webb', 'Alex Kurtzman', 'Roberto Orci', 'Jeff Pinkner', 'Alex Kurtzman', 'Roberto Orci', 'Jeff Pinkner', 'James Vanderbilt', 'Stan Lee', 'Steve Ditko', 'Avi Arad', 'Matt Tolmach', 'Michael Einziger', 'Junkie XL', 'Andrew Kawczynski', 'Johnny Marr', 'Steve Mazzaro', 'Pharrell Williams', 'Hans Zimmer', 'Dan Mindel', 'Pietro Scalia', 'Mark Friedberg']","['Andrew Garfield', 'Emma Stone', 'Jamie Foxx', 'Paul Giamatti']"
World War Z,Paramount Pictures,190000000.0,66411834.0,"June 19, 2013",PG-13,116.0,"['Action', 'Adventure', 'Horror', 'Sci-Fi']","[('Domestic', 202359711), ('International', 337648165), ('Worldwide', 540007876)]","['Marc Forster', 'Matthew Michael Carnahan', 'Drew Goddard', 'Damon Lindelof', 'Matthew Michael Carnahan', 'J. Michael Straczynski', 'Max Brooks', 'Ian Bryce', 'Dede Gardner', 'Jeremy Kleiner', 'Brad Pitt', 'Marco Beltrami', 'Ben Seresin', 'Roger Barton', 'Matt Chesse', 'Jon Billington', 'Nigel Phelps']","['Brad Pitt', 'Mireille Enos', 'Daniella Kertesz', 'James Badge Dale']"
The Mummy Returns,Universal Pictures,98000000.0,68139035.0,"May 4, 2001",PG-13,130.0,"['Action', 'Adventure', 'Fantasy', 'Thriller']","[('Domestic', 202019785), ('International', 241261119), ('Worldwide', 443280904)]","['Stephen Sommers', 'Stephen Sommers', 'Sean Daniel', 'James Jacks', 'Alan Silvestri', 'Adrian Biddle', 'Bob Ducsay', 'Kelly Matsumoto', 'Allan Cameron']","['Brendan Fraser', 'Rachel Weisz', 'John Hannah', 'Arnold Vosloo']"
