movie_title,domestic_distributor,budget,domestic_opening_sales,earliest_release,rating,runtime_minutes,genres,summary_sales,crew_list,cast_list
Freddy vs. Jason,New Line Cinema,30000000.0,36400000.0,2003-08-14,R,97.0,"['Action', 'Horror']","[['Domestic', 82622655], ['International', 34009973], ['Worldwide', 116632628]]","['Ronny Yu', 'Wes Craven', 'Victor Miller', 'Damian Shannon', 'Mark Swift', 'Sean S. Cunningham', 'Graeme Revell', 'Fred Murphy', 'Mark Stevens', 'John Willett']","['Robert Englund', 'Ken Kirzinger', 'Kelly Rowland', 'Monica Keena']"
Star Trek: The Motion Picture,Paramount Pictures,35000000.0,11926421.0,1979-12-07,G,132.0,"['Adventure', 'Mystery', 'Sci-Fi']","[['Domestic', 82604699], ['International', 82604699]]","['Robert Wise', 'Gene Roddenberry', 'Harold Livingston', 'Alan Dean Foster', 'David C. Fein', 'Gene Roddenberry', 'Jerry Goldsmith', 'Richard H. Kline', 'Todd C. Ramsay', 'Harold Michelson']","['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan']"
The Descendants,Fox Searchlight Pictures,,1190096.0,2011-11-16,R,115.0,"['Comedy', 'Drama']","[['Domestic', 82584160], ['International', 94659025], ['Worldwide', 177243185]]","['Alexander Payne', 'Alexander Payne', 'Nat Faxon', 'Jim Rash', 'Kaui Hart Hemmings', 'Jim Burke', 'Alexander Payne', 'Jim Taylor', 'Jeff Peterson', 'Phedon Papamichael', 'Kevin Tent', 'Jane Ann Stewart']","['George Clooney', 'Shailene Woodley', 'Amara Miller', 'Nick Krause']"
Cheaper by the Dozen 2,Twentieth Century Fox,,9309387.0,2005-12-21,PG,94.0,"['Adventure', 'Comedy', 'Family']","[['Domestic', 82571173], ['International', 47583395], ['Worldwide', 130154568]]","['Adam Shankman', 'Sam Harper', 'Craig Titley', 'Frank B. Gilbreth Jr.', 'Ernestine Gilbreth Carey', 'Shawn Levy', 'Ben Myron', 'John Debney', 'Peter James', 'Matthew Cassel', 'Christopher Greenbury', 'Cary White']","['Steve Martin', 'Bonnie Hunt', 'Hilary Duff', 'Eugene Levy']"
Mr. Holland's Opus,Walt Disney Studios Motion Pictures,,14466.0,1995-12-29,PG,143.0,"['Drama', 'Music']","[['Domestic', 82569971], ['International', 23700000], ['Worldwide', 106269971]]","['Stephen Herek', 'Patrick Sheane Duncan', 'Robert W. Cort', 'Ted Field', 'Michael Nolin', 'Michael Kamen', 'Oliver Wood', 'Trudy Ship', 'David Nichols']","['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas', 'Olympia Dukakis']"
Bram Stoker's Dracula,Columbia Pictures,40000000.0,30521679.0,1992-11-13,R,128.0,['Horror'],"[['Domestic', 82522790], ['International', 133339902], ['Worldwide', 215862692]]","['Francis Ford Coppola', 'Bram Stoker', 'James V. Hart', 'Francis Ford Coppola', 'Fred Fuchs', 'Charles Mulvehill', 'Wojciech Kilar', 'Michael Ballhaus', 'Anne Goursaud', 'Glen Scantlebury', 'Nicholas C. Smith', 'Thomas E. Sanders']","['Gary Oldman', 'Winona Ryder', 'Anthony Hopkins', 'Keanu Reeves']"
Fried Green Tomatoes,Universal Pictures,,105317.0,1991-12-27,,130.0,['Drama'],"[['Domestic', 82418501], ['International', 37000000], ['Worldwide', 119418501]]","['Jon Avnet', 'Fannie Flagg', 'Fannie Flagg', 'Carol Sobieski', 'Jon Avnet', 'Jordan Kerner', 'Thomas Newman', 'Geoffrey Simpson', 'Debra Neil-Fisher', 'Barbara Ling']","['Kathy Bates', 'Jessica Tandy', 'Mary Stuart Masterson', 'Mary-Louise Parker']"
Let's Be Cops,Twentieth Century Fox,17000000.0,17813722.0,2014-08-13,R,104.0,"['Action', 'Comedy', 'Crime']","[['Domestic', 82390774], ['International', 55834177], ['Worldwide', 138224951]]","['Luke Greenfield', 'Luke Greenfield', 'Nicholas Thomas', 'Luke Greenfield', 'Simon Kinberg', 'Aditya Sood', 'Christophe Beck', 'Jake Monaco', 'Daryn Okada', 'Bill Pankow', 'Jonathan Schwartz', 'William Arnold']","['Jake Johnson', 'Damon Wayans Jr.', 'Rob Riggle', 'Nina Dobrev']"
Blade II,New Line Cinema,54000000.0,32528016.0,2002-03-22,R,117.0,"['Action', 'Fantasy', 'Horror', 'Sci-Fi', 'Thriller']","[['Domestic', 82348319], ['International', 72661713], ['Worldwide', 155010032]]","['Guillermo del Toro', 'Marv Wolfman', 'Gene Colan', 'David S. Goyer', 'Peter Frankfurt', 'Tomas Krejci', 'Patrick J. Palmer', 'Wesley Snipes', 'Marco Beltrami', 'Gabriel Beristain', 'Peter Amundson', 'Carol Spier']","['Wesley Snipes', 'Kris Kristofferson', 'Ron Perlman', 'Leonor Varela']"
Beowulf,Paramount Pictures,150000000.0,27515871.0,2007-11-14,PG-13,115.0,"['Action', 'Adventure', 'Animation', 'Fantasy']","[['Domestic', 82280579], ['International', 114113166], ['Worldwide', 196393745]]","['Robert Zemeckis', 'Neil Gaiman', 'Roger Avary', 'Anonymous', 'Jack Rapke', 'Steve Starkey', 'Robert Zemeckis', 'Alan Silvestri', 'Robert Presley', ""Jeremiah O'Driscoll"", 'Doug Chiang']","['Ray Winstone', 'Crispin Glover', 'Angelina Jolie', 'Robin Wright']"
