movie_title,domestic_distributor,budget,domestic_opening_sales,earliest_release,rating,runtime_minutes,genres,summary_sales,crew_list,cast_list
Dumbo,Walt Disney Studios Motion Pictures,170000000.0,45990748.0,"March 27, 2019",PG,112.0,"['Adventure', 'Family', 'Fantasy']","[('Domestic', 114766307), ('International', 238518314), ('Worldwide', 353284621)]","['Tim Burton', 'Ehren Kruger', 'Helen Aberson', 'Harold Pearl', 'Katterli Frauenfelder', 'Derek Frey', 'Ehren Kruger', 'Justin Springer', 'Danny Elfman', 'Ben Davis', 'Chris Lebenzon', 'Rick Heinrichs']","['Colin Farrell', 'Michael Keaton', 'Danny DeVito', 'Eva Green']"
Fifty Shades Darker,Universal Pictures,55000000.0,46607250.0,"February 8, 2017",R,118.0,"['Drama', 'Romance']","[('Domestic', 114581250), ('International', 266964596), ('Worldwide', 381545846)]","['James Foley', 'Niall Leonard', 'E.L. James', 'Dana Brunetti', 'Michael De Luca', 'E.L. James', 'Marcus Viscidi', 'Danny Elfman', 'John Schwartzman', 'Richard Francis-Bruce', 'Nelson Coates']","['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson', 'Eloise Mumford']"
Dodgeball,Twentieth Century Fox,20000000.0,30070196.0,"June 18, 2004",PG-13,92.0,"['Comedy', 'Sport']","[('Domestic', 114326736), ('International', 54096491), ('Worldwide', 168423227)]","['Rawson Marshall Thurber', 'Rawson Marshall Thurber', 'Stuart Cornfeld', 'Ben Stiller', 'Theodore Shapiro', 'Jerzy Zielinski', 'Alan Baumgarten', 'Maher Ahmad']","['Ben Stiller', 'Christine Taylor', 'Vince Vaughn', 'Rip Torn']"
The Village,Walt Disney Studios Motion Pictures,60000000.0,50746142.0,"August 13, 2003",PG-13,108.0,"['Drama', 'Mystery', 'Thriller']","[('Domestic', 114197520), ('International', 142500000), ('Worldwide', 256697520)]","['M. Night Shyamalan', 'M. Night Shyamalan', 'Sam Mercer', 'Scott Rudin', 'M. Night Shyamalan', 'James Newton Howard', 'Roger Deakins', 'Christopher Tellefsen', 'Tom Foden']","['Sigourney Weaver', 'William Hurt', 'Joaquin Phoenix', 'Bryce Dallas Howard']"
Bolt,Walt Disney Studios Motion Pictures,150000000.0,26223128.0,"November 21, 2008",PG,96.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","[('Domestic', 114053579), ('International', 195926415), ('Worldwide', 309979994)]","['Byron Howard', 'Chris Williams', 'Dan Fogelman', 'Chris Williams', 'Clark Spencer', 'John Powell', 'Scott Beattie', 'Tim Mertens']","['John Travolta', 'Miley Cyrus', 'Susie Essman', 'Mark Walton']"
Maleficent: Mistress of Evil,Walt Disney Studios Motion Pictures,185000000.0,36948713.0,"October 16, 2019",PG,119.0,"['Adventure', 'Family', 'Fantasy']","[('Domestic', 113929605), ('International', 377800484), ('Worldwide', 491730089)]","['Joachim Rønning', 'Linda Woolverton', 'Noah Harpster', 'Micah Fitzerman-Blue', 'Charles Perrault', 'Milt Banta', 'Winston Hibler', 'Bill Peet', 'Erdman Penner', 'Joe Rinaldi', 'Ted Sears', 'Ralph Wright', 'Duncan Henderson', 'Angelina Jolie', 'Joe Roth', 'Geoff Zanelli', 'Henry Braham', 'Laura Jennings', 'Craig Wood', 'Patrick Tatopoulos']","['Angelina Jolie', 'Elle Fanning', 'Harris Dickinson', 'Michelle Pfeiffer']"
Wild Wild West,Warner Bros.,170000000.0,27687484.0,"June 30, 1999",PG-13,106.0,"['Action', 'Comedy', 'Sci-Fi', 'Western']","[('Domestic', 113804681), ('International', 108300000), ('Worldwide', 222104681)]","['Barry Sonnenfeld', 'Jim Thomas', 'John Thomas', 'S.S. Wilson', 'Brent Maddock', 'Jeffrey Price', 'Peter S. Seaman', 'Jon Peters', 'Barry Sonnenfeld', 'Elmer Bernstein', 'Michael Ballhaus', 'Jim Miller', 'Bo Welch']","['Will Smith', 'Kevin Kline', 'Kenneth Branagh', 'Salma Hayek']"
Night at the Museum: Secret of the Tomb,Twentieth Century Fox,127000000.0,17100520.0,"December 17, 2014",PG,98.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']","[('Domestic', 113746621), ('International', 249458014), ('Worldwide', 363204635)]","['Shawn Levy', 'David Guion', 'Michael Handelman', 'Mark Friedman', 'David Guion', 'Michael Handelman', 'Thomas Lennon', 'Robert Ben Garant', 'Chris Columbus', 'Shawn Levy', 'Mark Radcliffe', 'Alan Silvestri', 'Guillermo Navarro', 'Dean Zimmerman', 'Martin Whist']","['Ben Stiller', 'Robin Williams', 'Owen Wilson', 'Dick Van Dyke']"
Magic Mike,Warner Bros.,7000000.0,39127170.0,"June 28, 2012",R,110.0,"['Comedy', 'Drama']","[('Domestic', 113721571), ('International', 54017797), ('Worldwide', 167739368)]","['Steven Soderbergh', 'Reid Carolin', 'Reid Carolin', 'Gregory Jacobs', 'Channing Tatum', 'Nick Wechsler', 'Steven Soderbergh', 'Steven Soderbergh', 'Howard Cummings']","['Channing Tatum', 'Alex Pettyfer', 'Olivia Munn', 'Matthew McConaughey']"
The Addams Family,United Artists Releasing,24000000.0,30300007.0,"October 11, 2019",PG,86.0,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']","[('Domestic', 100723831), ('International', 103037026), ('Worldwide', 203760857)]","['Greg Tiernan', 'Conrad Vernon', 'Matt Lieberman', 'Matt Lieberman', 'Erica Rivinoja', 'Conrad Vernon', 'Charles Addams', 'Pamela Pettler', 'Gail Berman', ""Alison O'Brien"", 'Alex Schwartz', 'Conrad Vernon', 'Jeff Danna', 'Mychael Danna', 'Kevin Pavlovic', 'David Ian Salter', 'Patricia Atchison']","['Oscar Isaac', 'Charlize Theron', 'Chloë Grace Moretz', 'Finn Wolfhard']"
The Patriot,Sony Pictures Entertainment (SPE),110000000.0,22413710.0,"June 28, 2000",R,165.0,"['Action', 'Drama', 'History', 'War']","[('Domestic', 113330342), ('International', 101964000), ('Worldwide', 215294342)]","['Roland Emmerich', 'Robert Rodat', 'Dean Devlin', 'Mark Gordon', 'Gary Levinsohn', 'John Williams', 'Caleb Deschanel', 'David Brenner', 'Christopher Holmes', 'Julie Monroe', 'Kirk M. Petruccelli']","['Mel Gibson', 'Heath Ledger', 'Joely Richardson', 'Jason Isaacs']"
